Silhouette Studio Level Testing Document,,,,,,4.2.233,
Win P,Mac P,Level,Task,Notes,Ticket No.,Win,Mac
"=if(IFERROR(search(""Success"",INDIRECT(""G1239""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1239""))>0,0),""Mac Pass"",""Mac Fail"")",,Fill,Only available for Curio.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1240""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1240""))>0,0),""Mac Pass"",""Mac Fail"")",,Apply Score Emboss Lines,Only available for Curio.,,,
Print & Emboss,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1242""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1242""))>0,0),""Mac Pass"",""Mac Fail"")",,Print,Only available for Curio.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1243""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1243""))>0,0),""Mac Pass"",""Mac Fail"")",,Cut Registration Marks,Only available for Curio.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1244""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1244""))>0,0),""Mac Pass"",""Mac Fail"")",,Emboss,Only available for Curio.,,,
Cut Transformations,,,,,,,
CAMEO Cutter - Set 1,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1247""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1247""))>0,0),""Mac Pass"",""Mac Fail"")",,Landscape,Automatic,None,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1248""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1248""))>0,0),""Mac Pass"",""Mac Fail"")",,Landscape,Automatic,Cameo 12x12,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1249""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1249""))>0,0),""Mac Pass"",""Mac Fail"")",,Landscape,Automatic,Cameo 12x24,,
CAMEO Cutter - Set 2,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1251""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1251""))>0,0),""Mac Pass"",""Mac Fail"")",,Landscape,"12""x12""",None,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1252""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1252""))>0,0),""Mac Pass"",""Mac Fail"")",,Landscape,"12""x12""",Cameo 12x12,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1253""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1253""))>0,0),""Mac Pass"",""Mac Fail"")",,Landscape,"12""x12""",Cameo 12x24,,
CAMEO Cutter - Set 3,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1255""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1255""))>0,0),""Mac Pass"",""Mac Fail"")",,Landscape,Letter,None,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1256""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1256""))>0,0),""Mac Pass"",""Mac Fail"")",,Landscape,Letter,Portrait,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1257""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1257""))>0,0),""Mac Pass"",""Mac Fail"")",,Landscape,Letter,Cameo 12x12,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1258""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1258""))>0,0),""Mac Pass"",""Mac Fail"")",,Landscape,Letter,Cameo 12x24,,
CAMEO Cutter - Set 4,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1260""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1260""))>0,0),""Mac Pass"",""Mac Fail"")",,Landscape,A4,None,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1261""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1261""))>0,0),""Mac Pass"",""Mac Fail"")",,Landscape,A4,Portrait,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1262""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1262""))>0,0),""Mac Pass"",""Mac Fail"")",,Landscape,A4,Cameo 12x12,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1263""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1263""))>0,0),""Mac Pass"",""Mac Fail"")",,Landscape,A4,Cameo 12x24,,
CAMEO Cutter - Set 5,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1265""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1265""))>0,0),""Mac Pass"",""Mac Fail"")",,Portrait,Letter,None,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1266""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1266""))>0,0),""Mac Pass"",""Mac Fail"")",,Portrait,Letter,Portrait,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1267""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1267""))>0,0),""Mac Pass"",""Mac Fail"")",,Portrait,Letter,Cameo 12x12,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1268""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1268""))>0,0),""Mac Pass"",""Mac Fail"")",,Portrait,Letter,Cameo 12x24,,
CAMEO Cutter - Set 6,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1270""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1270""))>0,0),""Mac Pass"",""Mac Fail"")",,Portrait,A4,None,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1271""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1271""))>0,0),""Mac Pass"",""Mac Fail"")",,Portrait,A4,Portrait,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1272""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1272""))>0,0),""Mac Pass"",""Mac Fail"")",,Portrait,A4,Cameo 12x12,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1273""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1273""))>0,0),""Mac Pass"",""Mac Fail"")",,Portrait,A4,Cameo 12x24,,
CAMEO2 Cutter - Set 1,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1275""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1275""))>0,0),""Mac Pass"",""Mac Fail"")",,Landscape,Automatic,None,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1276""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1276""))>0,0),""Mac Pass"",""Mac Fail"")",,Landscape,Automatic,Cameo 12x12,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1277""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1277""))>0,0),""Mac Pass"",""Mac Fail"")",,Landscape,Automatic,Cameo 12x24,,
CAMEO2 Cutter - Set 2,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1279""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1279""))>0,0),""Mac Pass"",""Mac Fail"")",,Landscape,"12""x12""",None,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1280""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1280""))>0,0),""Mac Pass"",""Mac Fail"")",,Landscape,"12""x12""",Cameo 12x12,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1281""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1281""))>0,0),""Mac Pass"",""Mac Fail"")",,Landscape,"12""x12""",Cameo 12x24,,
CAMEO2 Cutter - Set 3,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1283""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1283""))>0,0),""Mac Pass"",""Mac Fail"")",,Landscape,Letter,None,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1284""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1284""))>0,0),""Mac Pass"",""Mac Fail"")",,Landscape,Letter,Portrait,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1285""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1285""))>0,0),""Mac Pass"",""Mac Fail"")",,Landscape,Letter,Cameo 12x12,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1286""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1286""))>0,0),""Mac Pass"",""Mac Fail"")",,Landscape,Letter,Cameo 12x24,,
CAMEO2 Cutter - Set 4,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1288""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1288""))>0,0),""Mac Pass"",""Mac Fail"")",,Landscape,A5,None,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1289""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1289""))>0,0),""Mac Pass"",""Mac Fail"")",,Landscape,A5,Portrait,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1290""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1290""))>0,0),""Mac Pass"",""Mac Fail"")",,Landscape,A5,Cameo 12x12,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1291""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1291""))>0,0),""Mac Pass"",""Mac Fail"")",,Landscape,A5,Cameo 12x24,,
CAMEO2 Cutter - Set 5,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1293""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1293""))>0,0),""Mac Pass"",""Mac Fail"")",,Portrait,Letter,None,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1294""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1294""))>0,0),""Mac Pass"",""Mac Fail"")",,Portrait,Letter,Portrait,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1295""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1295""))>0,0),""Mac Pass"",""Mac Fail"")",,Portrait,Letter,Cameo 12x12,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1296""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1296""))>0,0),""Mac Pass"",""Mac Fail"")",,Portrait,Letter,Cameo 12x24,,
CAMEO2 Cutter - Set 6,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1298""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1298""))>0,0),""Mac Pass"",""Mac Fail"")",,Portrait,A4,None,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1299""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1299""))>0,0),""Mac Pass"",""Mac Fail"")",,Portrait,A4,Portrait,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1300""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1300""))>0,0),""Mac Pass"",""Mac Fail"")",,Portrait,A4,Cameo 12x12,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1301""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1301""))>0,0),""Mac Pass"",""Mac Fail"")",,Portrait,A4,Cameo 12x24,,
CAMEO3 Cutter - Set 1,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1303""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1303""))>0,0),""Mac Pass"",""Mac Fail"")",,Landscape,Automatic,None,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1304""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1304""))>0,0),""Mac Pass"",""Mac Fail"")",,Landscape,Automatic,Cameo 12x12,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1305""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1305""))>0,0),""Mac Pass"",""Mac Fail"")",,Landscape,Automatic,Cameo 12x24,,
CAMEO3 Bluetooth Cutter - Set 2,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1307""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1307""))>0,0),""Mac Pass"",""Mac Fail"")",,Landscape,"12""x12""",None,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1308""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1308""))>0,0),""Mac Pass"",""Mac Fail"")",,Landscape,"12""x12""",Cameo 12x12,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1309""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1309""))>0,0),""Mac Pass"",""Mac Fail"")",,Landscape,"12""x12""",Cameo 12x24,,
CAMEO3 Cutter - Set 3,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1311""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1311""))>0,0),""Mac Pass"",""Mac Fail"")",,Landscape,Letter,None,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1312""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1312""))>0,0),""Mac Pass"",""Mac Fail"")",,Landscape,Letter,Portrait,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1313""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1313""))>0,0),""Mac Pass"",""Mac Fail"")",,Landscape,Letter,Cameo 12x12,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1314""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1314""))>0,0),""Mac Pass"",""Mac Fail"")",,Landscape,Letter,Cameo 12x24,,
CAMEO3 Cutter - Set 4,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1316""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1316""))>0,0),""Mac Pass"",""Mac Fail"")",,Landscape,A4,None,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1317""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1317""))>0,0),""Mac Pass"",""Mac Fail"")",,Landscape,A4,Portrait,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1318""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1318""))>0,0),""Mac Pass"",""Mac Fail"")",,Landscape,A4,Cameo 12x12,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1319""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1319""))>0,0),""Mac Pass"",""Mac Fail"")",,Landscape,A5,Cameo 12x24,,
CAMEO3 Cutter - Set 5,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1321""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1321""))>0,0),""Mac Pass"",""Mac Fail"")",,Portrait,Letter,None,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1322""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1322""))>0,0),""Mac Pass"",""Mac Fail"")",,Portrait,Letter,Portrait,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1323""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1323""))>0,0),""Mac Pass"",""Mac Fail"")",,Portrait,Letter,Cameo 12x12,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1324""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1324""))>0,0),""Mac Pass"",""Mac Fail"")",,Portrait,Letter,Cameo 12x24,,
CAMEO3 Cutter - Set 6,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1326""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1326""))>0,0),""Mac Pass"",""Mac Fail"")",,Portrait,A4,None,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1327""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1327""))>0,0),""Mac Pass"",""Mac Fail"")",,Portrait,A4,Portrait,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1328""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1328""))>0,0),""Mac Pass"",""Mac Fail"")",,Portrait,A4,Cameo 12x12,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1329""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1329""))>0,0),""Mac Pass"",""Mac Fail"")",,Portrait,A4,Cameo 12x24,,
Portrait Cutter - Set 1,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1331""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1331""))>0,0),""Mac Pass"",""Mac Fail"")",,Portrait,Automatic,None,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1332""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1332""))>0,0),""Mac Pass"",""Mac Fail"")",,Portrait,Automatic,Portrait,,
Portrait Cutter - Set 2,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1334""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1334""))>0,0),""Mac Pass"",""Mac Fail"")",,Portrait,Letter,None,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1335""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1335""))>0,0),""Mac Pass"",""Mac Fail"")",,Portrait,Letter,Portrait,,
Portrait Cutter - Set 3,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1337""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1337""))>0,0),""Mac Pass"",""Mac Fail"")",,Portrait,,None,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1338""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1338""))>0,0),""Mac Pass"",""Mac Fail"")",,Portrait,,Portrait,,
Portrait 2 Cutter - Set 1,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1340""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1340""))>0,0),""Mac Pass"",""Mac Fail"")",,Portrait,,None,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1341""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1341""))>0,0),""Mac Pass"",""Mac Fail"")",,Portrait,,Portrait,,
Portrait 2 Cutter - Set 2,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1343""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1343""))>0,0),""Mac Pass"",""Mac Fail"")",,Portrait,Letter,None,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1344""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1344""))>0,0),""Mac Pass"",""Mac Fail"")",,Portrait,Letter,Portrait,,
Portrait 2 Cutter - Set 3,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1346""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1346""))>0,0),""Mac Pass"",""Mac Fail"")",,Portrait,A4,None,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1347""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1347""))>0,0),""Mac Pass"",""Mac Fail"")",,Portrait,A4,Portrait,,
Portrait 2 Cutter - Bluetooth,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1349""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1349""))>0,0),""Mac Pass"",""Mac Fail"")",,Portrait,Automatic,None,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1350""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1350""))>0,0),""Mac Pass"",""Mac Fail"")",,Portrait,Automatic,Portrait,,
Curio Cutter - Set 1,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1352""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1352""))>0,0),""Mac Pass"",""Mac Fail"")",,Portrait,A4,Large Mat,,
Curio Cutter - Set 2,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1354""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1354""))>0,0),""Mac Pass"",""Mac Fail"")",,Portrait,A5,Large Mat,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1355""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1355""))>0,0),""Mac Pass"",""Mac Fail"")",,Landscape,A5,Small Mat,,
"Original Cutters (SD, Silhouette, Craft Robo) - Type 2 Reg-Marks",,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1357""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1357""))>0,0),""Mac Pass"",""Mac Fail"")",,Landscape,Automatic,Portrait,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1358""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1358""))>0,0),""Mac Pass"",""Mac Fail"")",,Landscape,Automatic,None,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1359""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1359""))>0,0),""Mac Pass"",""Mac Fail"")",,Portrait,Automatic,Portrait,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1360""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1360""))>0,0),""Mac Pass"",""Mac Fail"")",,Portrait,Automatic,None,,
Send To Machine,,,,,,,
Material,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1363""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1363""))>0,0),""Mac Pass"",""Mac Fail"")",,Select Material ,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1364""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1364""))>0,0),""Mac Pass"",""Mac Fail"")",,Edit Material,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1365""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1365""))>0,0),""Mac Pass"",""Mac Fail"")",,Add Material,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1366""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1366""))>0,0),""Mac Pass"",""Mac Fail"")",,Delete Material,,,,
Action,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1368""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1368""))>0,0),""Mac Pass"",""Mac Fail"")",,Set Action for Tool 1,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1369""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1369""))>0,0),""Mac Pass"",""Mac Fail"")",,Set Action for Tool 2,Only available for Curio & Cameo 3.,,,
Cut,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1371""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1371""))>0,0),""Mac Pass"",""Mac Fail"")",,Auto Blade,Only available for Cameo 3 & Portrait 2.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1372""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1372""))>0,0),""Mac Pass"",""Mac Fail"")",,Ratchet Blade,Default,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1373""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1373""))>0,0),""Mac Pass"",""Mac Fail"")",,Deep Cut Blade,,,,
Score,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1375""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1375""))>0,0),""Mac Pass"",""Mac Fail"")",,Auto Blade,Only available for Cameo 3.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1376""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1376""))>0,0),""Mac Pass"",""Mac Fail"")",,Ratchet Blade,Default,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1377""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1377""))>0,0),""Mac Pass"",""Mac Fail"")",,Deep Cut Blade,,,,
Sketch,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1379""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1379""))>0,0),""Mac Pass"",""Mac Fail"")",,Sketch Pen,Default,,,
Emboss,,,,,,,
