Silhouette Studio Level Testing Document,,,,,,4.2.233,
Level,Win,Mac,Task,Notes,Ticket No.,Win,Mac
3,"=IFS(INDIRECT(""Setup!B1175"")=True,""Pass"",INDIRECT(""Setup!C1175"")=True,""Fail"",INDIRECT(""Setup!D1175"")=True,""N/A"",INDIRECT(""Setup!E1175"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F1175"")=True,""Pass"",INDIRECT(""Setup!G1175"")=True,""Fail"",INDIRECT(""Setup!H1175"")=True,""N/A"",INDIRECT(""Setup!I1175"")=True,""Retest"")",Cross Stipple Fill,Only available for Curio & Cameo 3.,,,
3,"=IFS(INDIRECT(""Setup!B1176"")=True,""Pass"",INDIRECT(""Setup!C1176"")=True,""Fail"",INDIRECT(""Setup!D1176"")=True,""N/A"",INDIRECT(""Setup!E1176"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F1176"")=True,""Pass"",INDIRECT(""Setup!G1176"")=True,""Fail"",INDIRECT(""Setup!H1176"")=True,""N/A"",INDIRECT(""Setup!I1176"")=True,""Retest"")",Diamonds Stipple Fill,Only available for Curio & Cameo 3.,,,
3,"=IFS(INDIRECT(""Setup!B1177"")=True,""Pass"",INDIRECT(""Setup!C1177"")=True,""Fail"",INDIRECT(""Setup!D1177"")=True,""N/A"",INDIRECT(""Setup!E1177"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F1177"")=True,""Pass"",INDIRECT(""Setup!G1177"")=True,""Fail"",INDIRECT(""Setup!H1177"")=True,""N/A"",INDIRECT(""Setup!I1177"")=True,""Retest"")",Flower Ring Stipple Fill,Only available for Curio & Cameo 3.,,,
3,"=IFS(INDIRECT(""Setup!B1178"")=True,""Pass"",INDIRECT(""Setup!C1178"")=True,""Fail"",INDIRECT(""Setup!D1178"")=True,""N/A"",INDIRECT(""Setup!E1178"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F1178"")=True,""Pass"",INDIRECT(""Setup!G1178"")=True,""Fail"",INDIRECT(""Setup!H1178"")=True,""N/A"",INDIRECT(""Setup!I1178"")=True,""Retest"")",Circle Overlap Stipple Fill,Only available for Curio & Cameo 3.,,,
3,"=IFS(INDIRECT(""Setup!B1179"")=True,""Pass"",INDIRECT(""Setup!C1179"")=True,""Fail"",INDIRECT(""Setup!D1179"")=True,""N/A"",INDIRECT(""Setup!E1179"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F1179"")=True,""Pass"",INDIRECT(""Setup!G1179"")=True,""Fail"",INDIRECT(""Setup!H1179"")=True,""N/A"",INDIRECT(""Setup!I1179"")=True,""Retest"")",Concentric Circles Stipple Fill,Only available for Curio & Cameo 3.,,,
3,"=IFS(INDIRECT(""Setup!B1180"")=True,""Pass"",INDIRECT(""Setup!C1180"")=True,""Fail"",INDIRECT(""Setup!D1180"")=True,""N/A"",INDIRECT(""Setup!E1180"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F1180"")=True,""Pass"",INDIRECT(""Setup!G1180"")=True,""Fail"",INDIRECT(""Setup!H1180"")=True,""N/A"",INDIRECT(""Setup!I1180"")=True,""Retest"")",Lens Stipple Fill,Only available for Curio & Cameo 3.,,,
3,"=IFS(INDIRECT(""Setup!B1181"")=True,""Pass"",INDIRECT(""Setup!C1181"")=True,""Fail"",INDIRECT(""Setup!D1181"")=True,""N/A"",INDIRECT(""Setup!E1181"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F1181"")=True,""Pass"",INDIRECT(""Setup!G1181"")=True,""Fail"",INDIRECT(""Setup!H1181"")=True,""N/A"",INDIRECT(""Setup!I1181"")=True,""Retest"")",Arc Waves Stipple Fill,Only available for Curio & Cameo 3.,,,
3,"=IFS(INDIRECT(""Setup!B1182"")=True,""Pass"",INDIRECT(""Setup!C1182"")=True,""Fail"",INDIRECT(""Setup!D1182"")=True,""N/A"",INDIRECT(""Setup!E1182"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F1182"")=True,""Pass"",INDIRECT(""Setup!G1182"")=True,""Fail"",INDIRECT(""Setup!H1182"")=True,""N/A"",INDIRECT(""Setup!I1182"")=True,""Retest"")",Shells Stipple Fill,Only available for Curio & Cameo 3.,,,
3,"=IFS(INDIRECT(""Setup!B1183"")=True,""Pass"",INDIRECT(""Setup!C1183"")=True,""Fail"",INDIRECT(""Setup!D1183"")=True,""N/A"",INDIRECT(""Setup!E1183"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F1183"")=True,""Pass"",INDIRECT(""Setup!G1183"")=True,""Fail"",INDIRECT(""Setup!H1183"")=True,""N/A"",INDIRECT(""Setup!I1183"")=True,""Retest"")",Loops Stipple Fill,Only available for Curio & Cameo 3.,,,
3,"=IFS(INDIRECT(""Setup!B1184"")=True,""Pass"",INDIRECT(""Setup!C1184"")=True,""Fail"",INDIRECT(""Setup!D1184"")=True,""N/A"",INDIRECT(""Setup!E1184"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F1184"")=True,""Pass"",INDIRECT(""Setup!G1184"")=True,""Fail"",INDIRECT(""Setup!H1184"")=True,""N/A"",INDIRECT(""Setup!I1184"")=True,""Retest"")",Swirls Stipple Fill,Only available for Curio & Cameo 3.,,,
3,"=IFS(INDIRECT(""Setup!B1185"")=True,""Pass"",INDIRECT(""Setup!C1185"")=True,""Fail"",INDIRECT(""Setup!D1185"")=True,""N/A"",INDIRECT(""Setup!E1185"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F1185"")=True,""Pass"",INDIRECT(""Setup!G1185"")=True,""Fail"",INDIRECT(""Setup!H1185"")=True,""N/A"",INDIRECT(""Setup!I1185"")=True,""Retest"")",Bubbles Stipple Fill,Only available for Curio & Cameo 3.,,,
3,"=IFS(INDIRECT(""Setup!B1186"")=True,""Pass"",INDIRECT(""Setup!C1186"")=True,""Fail"",INDIRECT(""Setup!D1186"")=True,""N/A"",INDIRECT(""Setup!E1186"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F1186"")=True,""Pass"",INDIRECT(""Setup!G1186"")=True,""Fail"",INDIRECT(""Setup!H1186"")=True,""N/A"",INDIRECT(""Setup!I1186"")=True,""Retest"")",Leaves Stipple Fill,Only available for Curio & Cameo 3.,,,
3,"=IFS(INDIRECT(""Setup!B1187"")=True,""Pass"",INDIRECT(""Setup!C1187"")=True,""Fail"",INDIRECT(""Setup!D1187"")=True,""N/A"",INDIRECT(""Setup!E1187"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F1187"")=True,""Pass"",INDIRECT(""Setup!G1187"")=True,""Fail"",INDIRECT(""Setup!H1187"")=True,""N/A"",INDIRECT(""Setup!I1187"")=True,""Retest"")",Cube Stipple Fill,Only available for Curio & Cameo 3.,,,
3,"=IFS(INDIRECT(""Setup!B1188"")=True,""Pass"",INDIRECT(""Setup!C1188"")=True,""Fail"",INDIRECT(""Setup!D1188"")=True,""N/A"",INDIRECT(""Setup!E1188"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F1188"")=True,""Pass"",INDIRECT(""Setup!G1188"")=True,""Fail"",INDIRECT(""Setup!H1188"")=True,""N/A"",INDIRECT(""Setup!I1188"")=True,""Retest"")",Square Overlap Stipple Fill,Only available for Curio & Cameo 3.,,,
3,"=IFS(INDIRECT(""Setup!B1189"")=True,""Pass"",INDIRECT(""Setup!C1189"")=True,""Fail"",INDIRECT(""Setup!D1189"")=True,""N/A"",INDIRECT(""Setup!E1189"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F1189"")=True,""Pass"",INDIRECT(""Setup!G1189"")=True,""Fail"",INDIRECT(""Setup!H1189"")=True,""N/A"",INDIRECT(""Setup!I1189"")=True,""Retest"")",Scalloped Tile Stipple Fill,Only available for Curio & Cameo 3.,,,
3,"=IFS(INDIRECT(""Setup!B1190"")=True,""Pass"",INDIRECT(""Setup!C1190"")=True,""Fail"",INDIRECT(""Setup!D1190"")=True,""N/A"",INDIRECT(""Setup!E1190"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F1190"")=True,""Pass"",INDIRECT(""Setup!G1190"")=True,""Fail"",INDIRECT(""Setup!H1190"")=True,""N/A"",INDIRECT(""Setup!I1190"")=True,""Retest"")",Fancy Frame Stipple Fill,Only available for Curio & Cameo 3.,,,
3,"=IFS(INDIRECT(""Setup!B1191"")=True,""Pass"",INDIRECT(""Setup!C1191"")=True,""Fail"",INDIRECT(""Setup!D1191"")=True,""N/A"",INDIRECT(""Setup!E1191"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F1191"")=True,""Pass"",INDIRECT(""Setup!G1191"")=True,""Fail"",INDIRECT(""Setup!H1191"")=True,""N/A"",INDIRECT(""Setup!I1191"")=True,""Retest"")",Squares Stipple Fill,Only available for Curio & Cameo 3.,,,
3,"=IFS(INDIRECT(""Setup!B1192"")=True,""Pass"",INDIRECT(""Setup!C1192"")=True,""Fail"",INDIRECT(""Setup!D1192"")=True,""N/A"",INDIRECT(""Setup!E1192"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F1192"")=True,""Pass"",INDIRECT(""Setup!G1192"")=True,""Fail"",INDIRECT(""Setup!H1192"")=True,""N/A"",INDIRECT(""Setup!I1192"")=True,""Retest"")",Greek Border Stipple Fill,Only available for Curio & Cameo 3.,,,
3,"=IFS(INDIRECT(""Setup!B1193"")=True,""Pass"",INDIRECT(""Setup!C1193"")=True,""Fail"",INDIRECT(""Setup!D1193"")=True,""N/A"",INDIRECT(""Setup!E1193"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F1193"")=True,""Pass"",INDIRECT(""Setup!G1193"")=True,""Fail"",INDIRECT(""Setup!H1193"")=True,""N/A"",INDIRECT(""Setup!I1193"")=True,""Retest"")",Adjust Spacing (3 inputs),Only available for Curio & Cameo 3.,,,
3,"=IFS(INDIRECT(""Setup!B1194"")=True,""Pass"",INDIRECT(""Setup!C1194"")=True,""Fail"",INDIRECT(""Setup!D1194"")=True,""N/A"",INDIRECT(""Setup!E1194"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F1194"")=True,""Pass"",INDIRECT(""Setup!G1194"")=True,""Fail"",INDIRECT(""Setup!H1194"")=True,""N/A"",INDIRECT(""Setup!I1194"")=True,""Retest"")",Adjust Stipple Spacing (3 inputs),Only available for Curio & Cameo 3.,,,
3,"=IFS(INDIRECT(""Setup!B1195"")=True,""Pass"",INDIRECT(""Setup!C1195"")=True,""Fail"",INDIRECT(""Setup!D1195"")=True,""N/A"",INDIRECT(""Setup!E1195"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F1195"")=True,""Pass"",INDIRECT(""Setup!G1195"")=True,""Fail"",INDIRECT(""Setup!H1195"")=True,""N/A"",INDIRECT(""Setup!I1195"")=True,""Retest"")",Adjust Scale Factor (3 inputs),Only available for Curio & Cameo 3.,,,
3,"=IFS(INDIRECT(""Setup!B1196"")=True,""Pass"",INDIRECT(""Setup!C1196"")=True,""Fail"",INDIRECT(""Setup!D1196"")=True,""N/A"",INDIRECT(""Setup!E1196"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F1196"")=True,""Pass"",INDIRECT(""Setup!G1196"")=True,""Fail"",INDIRECT(""Setup!H1196"")=True,""N/A"",INDIRECT(""Setup!I1196"")=True,""Retest"")",Adjust Angle (3 inputs),Only available for Curio & Cameo 3.,,,
3,"=IFS(INDIRECT(""Setup!B1197"")=True,""Pass"",INDIRECT(""Setup!C1197"")=True,""Fail"",INDIRECT(""Setup!D1197"")=True,""N/A"",INDIRECT(""Setup!E1197"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F1197"")=True,""Pass"",INDIRECT(""Setup!G1197"")=True,""Fail"",INDIRECT(""Setup!H1197"")=True,""N/A"",INDIRECT(""Setup!I1197"")=True,""Retest"")",Adjust Offset (3 inputs),Only available for Curio & Cameo 3.,,,
3,"=IFS(INDIRECT(""Setup!B1198"")=True,""Pass"",INDIRECT(""Setup!C1198"")=True,""Fail"",INDIRECT(""Setup!D1198"")=True,""N/A"",INDIRECT(""Setup!E1198"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F1198"")=True,""Pass"",INDIRECT(""Setup!G1198"")=True,""Fail"",INDIRECT(""Setup!H1198"")=True,""N/A"",INDIRECT(""Setup!I1198"")=True,""Retest"")",Adjust Size (3 inputs),Only available for Curio & Cameo 3.,,,
3,"=IFS(INDIRECT(""Setup!B1199"")=True,""Pass"",INDIRECT(""Setup!C1199"")=True,""Fail"",INDIRECT(""Setup!D1199"")=True,""N/A"",INDIRECT(""Setup!E1199"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F1199"")=True,""Pass"",INDIRECT(""Setup!G1199"")=True,""Fail"",INDIRECT(""Setup!H1199"")=True,""N/A"",INDIRECT(""Setup!I1199"")=True,""Retest"")",Print Stipple,Only available for Curio & Cameo 3.,,,
,Stipple Trace,,,,,,
3,"=IFS(INDIRECT(""Setup!B1201"")=True,""Pass"",INDIRECT(""Setup!C1201"")=True,""Fail"",INDIRECT(""Setup!D1201"")=True,""N/A"",INDIRECT(""Setup!E1201"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F1201"")=True,""Pass"",INDIRECT(""Setup!G1201"")=True,""Fail"",INDIRECT(""Setup!H1201"")=True,""N/A"",INDIRECT(""Setup!I1201"")=True,""Retest"")",Select Stipple Area,Only available for Curio & Cameo 3.,,,
3,"=IFS(INDIRECT(""Setup!B1202"")=True,""Pass"",INDIRECT(""Setup!C1202"")=True,""Fail"",INDIRECT(""Setup!D1202"")=True,""N/A"",INDIRECT(""Setup!E1202"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F1202"")=True,""Pass"",INDIRECT(""Setup!G1202"")=True,""Fail"",INDIRECT(""Setup!H1202"")=True,""N/A"",INDIRECT(""Setup!I1202"")=True,""Retest"")",Simple - Exact,Only available for Curio & Cameo 3.,,,
3,"=IFS(INDIRECT(""Setup!B1203"")=True,""Pass"",INDIRECT(""Setup!C1203"")=True,""Fail"",INDIRECT(""Setup!D1203"")=True,""N/A"",INDIRECT(""Setup!E1203"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F1203"")=True,""Pass"",INDIRECT(""Setup!G1203"")=True,""Fail"",INDIRECT(""Setup!H1203"")=True,""N/A"",INDIRECT(""Setup!I1203"")=True,""Retest"")",Simple - Abstract,Only available for Curio & Cameo 3.,,,
3,"=IFS(INDIRECT(""Setup!B1204"")=True,""Pass"",INDIRECT(""Setup!C1204"")=True,""Fail"",INDIRECT(""Setup!D1204"")=True,""N/A"",INDIRECT(""Setup!E1204"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F1204"")=True,""Pass"",INDIRECT(""Setup!G1204"")=True,""Fail"",INDIRECT(""Setup!H1204"")=True,""N/A"",INDIRECT(""Setup!I1204"")=True,""Retest"")",Regular - 1,Only available for Curio & Cameo 3.,,,
3,"=IFS(INDIRECT(""Setup!B1205"")=True,""Pass"",INDIRECT(""Setup!C1205"")=True,""Fail"",INDIRECT(""Setup!D1205"")=True,""N/A"",INDIRECT(""Setup!E1205"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F1205"")=True,""Pass"",INDIRECT(""Setup!G1205"")=True,""Fail"",INDIRECT(""Setup!H1205"")=True,""N/A"",INDIRECT(""Setup!I1205"")=True,""Retest"")",Regular - 2,Only available for Curio & Cameo 3.,,,
3,"=IFS(INDIRECT(""Setup!B1206"")=True,""Pass"",INDIRECT(""Setup!C1206"")=True,""Fail"",INDIRECT(""Setup!D1206"")=True,""N/A"",INDIRECT(""Setup!E1206"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F1206"")=True,""Pass"",INDIRECT(""Setup!G1206"")=True,""Fail"",INDIRECT(""Setup!H1206"")=True,""N/A"",INDIRECT(""Setup!I1206"")=True,""Retest"")",Regular - 3,Only available for Curio & Cameo 3.,,,
3,"=IFS(INDIRECT(""Setup!B1207"")=True,""Pass"",INDIRECT(""Setup!C1207"")=True,""Fail"",INDIRECT(""Setup!D1207"")=True,""N/A"",INDIRECT(""Setup!E1207"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F1207"")=True,""Pass"",INDIRECT(""Setup!G1207"")=True,""Fail"",INDIRECT(""Setup!H1207"")=True,""N/A"",INDIRECT(""Setup!I1207"")=True,""Retest"")",Regular - 4,Only available for Curio & Cameo 3.,,,
3,"=IFS(INDIRECT(""Setup!B1208"")=True,""Pass"",INDIRECT(""Setup!C1208"")=True,""Fail"",INDIRECT(""Setup!D1208"")=True,""N/A"",INDIRECT(""Setup!E1208"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F1208"")=True,""Pass"",INDIRECT(""Setup!G1208"")=True,""Fail"",INDIRECT(""Setup!H1208"")=True,""N/A"",INDIRECT(""Setup!I1208"")=True,""Retest"")",Regular - 5,Only available for Curio & Cameo 3.,,,
3,"=IFS(INDIRECT(""Setup!B1209"")=True,""Pass"",INDIRECT(""Setup!C1209"")=True,""Fail"",INDIRECT(""Setup!D1209"")=True,""N/A"",INDIRECT(""Setup!E1209"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F1209"")=True,""Pass"",INDIRECT(""Setup!G1209"")=True,""Fail"",INDIRECT(""Setup!H1209"")=True,""N/A"",INDIRECT(""Setup!I1209"")=True,""Retest"")",Regular - 6,Only available for Curio & Cameo 3.,,,
3,"=IFS(INDIRECT(""Setup!B1210"")=True,""Pass"",INDIRECT(""Setup!C1210"")=True,""Fail"",INDIRECT(""Setup!D1210"")=True,""N/A"",INDIRECT(""Setup!E1210"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F1210"")=True,""Pass"",INDIRECT(""Setup!G1210"")=True,""Fail"",INDIRECT(""Setup!H1210"")=True,""N/A"",INDIRECT(""Setup!I1210"")=True,""Retest"")",Regular - 7,Only available for Curio & Cameo 3.,,,
3,"=IFS(INDIRECT(""Setup!B1211"")=True,""Pass"",INDIRECT(""Setup!C1211"")=True,""Fail"",INDIRECT(""Setup!D1211"")=True,""N/A"",INDIRECT(""Setup!E1211"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F1211"")=True,""Pass"",INDIRECT(""Setup!G1211"")=True,""Fail"",INDIRECT(""Setup!H1211"")=True,""N/A"",INDIRECT(""Setup!I1211"")=True,""Retest"")",White Noise - Scattered,Only available for Curio & Cameo 3.,,,
3,"=IFS(INDIRECT(""Setup!B1212"")=True,""Pass"",INDIRECT(""Setup!C1212"")=True,""Fail"",INDIRECT(""Setup!D1212"")=True,""N/A"",INDIRECT(""Setup!E1212"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F1212"")=True,""Pass"",INDIRECT(""Setup!G1212"")=True,""Fail"",INDIRECT(""Setup!H1212"")=True,""N/A"",INDIRECT(""Setup!I1212"")=True,""Retest"")",White Noise - Columns,Only available for Curio & Cameo 3.,,,
3,"=IFS(INDIRECT(""Setup!B1213"")=True,""Pass"",INDIRECT(""Setup!C1213"")=True,""Fail"",INDIRECT(""Setup!D1213"")=True,""N/A"",INDIRECT(""Setup!E1213"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F1213"")=True,""Pass"",INDIRECT(""Setup!G1213"")=True,""Fail"",INDIRECT(""Setup!H1213"")=True,""N/A"",INDIRECT(""Setup!I1213"")=True,""Retest"")",Dot Matrix - Basic,Only available for Curio & Cameo 3.,,,
3,"=IFS(INDIRECT(""Setup!B1214"")=True,""Pass"",INDIRECT(""Setup!C1214"")=True,""Fail"",INDIRECT(""Setup!D1214"")=True,""N/A"",INDIRECT(""Setup!E1214"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F1214"")=True,""Pass"",INDIRECT(""Setup!G1214"")=True,""Fail"",INDIRECT(""Setup!H1214"")=True,""N/A"",INDIRECT(""Setup!I1214"")=True,""Retest"")",Dot Matrix - Light,Only available for Curio & Cameo 3.,,,
3,"=IFS(INDIRECT(""Setup!B1215"")=True,""Pass"",INDIRECT(""Setup!C1215"")=True,""Fail"",INDIRECT(""Setup!D1215"")=True,""N/A"",INDIRECT(""Setup!E1215"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F1215"")=True,""Pass"",INDIRECT(""Setup!G1215"")=True,""Fail"",INDIRECT(""Setup!H1215"")=True,""N/A"",INDIRECT(""Setup!I1215"")=True,""Retest"")",Dot Matrix - Medium,Only available for Curio & Cameo 3.,,,
3,"=IFS(INDIRECT(""Setup!B1216"")=True,""Pass"",INDIRECT(""Setup!C1216"")=True,""Fail"",INDIRECT(""Setup!D1216"")=True,""N/A"",INDIRECT(""Setup!E1216"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F1216"")=True,""Pass"",INDIRECT(""Setup!G1216"")=True,""Fail"",INDIRECT(""Setup!H1216"")=True,""N/A"",INDIRECT(""Setup!I1216"")=True,""Retest"")",Dot Matrix - Heavy,Only available for Curio & Cameo 3.,,,
3,"=IFS(INDIRECT(""Setup!B1217"")=True,""Pass"",INDIRECT(""Setup!C1217"")=True,""Fail"",INDIRECT(""Setup!D1217"")=True,""N/A"",INDIRECT(""Setup!E1217"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F1217"")=True,""Pass"",INDIRECT(""Setup!G1217"")=True,""Fail"",INDIRECT(""Setup!H1217"")=True,""N/A"",INDIRECT(""Setup!I1217"")=True,""Retest"")",Invert,Only available for Curio & Cameo 3.,,,
3,"=IFS(INDIRECT(""Setup!B1218"")=True,""Pass"",INDIRECT(""Setup!C1218"")=True,""Fail"",INDIRECT(""Setup!D1218"")=True,""N/A"",INDIRECT(""Setup!E1218"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F1218"")=True,""Pass"",INDIRECT(""Setup!G1218"")=True,""Fail"",INDIRECT(""Setup!H1218"")=True,""N/A"",INDIRECT(""Setup!I1218"")=True,""Retest"")",Adjust Density (3 inputs),Only available for Curio & Cameo 3.,,,
3,"=IFS(INDIRECT(""Setup!B1219"")=True,""Pass"",INDIRECT(""Setup!C1219"")=True,""Fail"",INDIRECT(""Setup!D1219"")=True,""N/A"",INDIRECT(""Setup!E1219"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F1219"")=True,""Pass"",INDIRECT(""Setup!G1219"")=True,""Fail"",INDIRECT(""Setup!H1219"")=True,""N/A"",INDIRECT(""Setup!I1219"")=True,""Retest"")",Adjust Refinement (3 inputs),Only available for Curio & Cameo 3.,,,
3,"=IFS(INDIRECT(""Setup!B1220"")=True,""Pass"",INDIRECT(""Setup!C1220"")=True,""Fail"",INDIRECT(""Setup!D1220"")=True,""N/A"",INDIRECT(""Setup!E1220"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F1220"")=True,""Pass"",INDIRECT(""Setup!G1220"")=True,""Fail"",INDIRECT(""Setup!H1220"")=True,""N/A"",INDIRECT(""Setup!I1220"")=True,""Retest"")",Adjust Grid Spacing (3 inputs),Only available for Curio & Cameo 3.,,,
3,"=IFS(INDIRECT(""Setup!B1221"")=True,""Pass"",INDIRECT(""Setup!C1221"")=True,""Fail"",INDIRECT(""Setup!D1221"")=True,""N/A"",INDIRECT(""Setup!E1221"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F1221"")=True,""Pass"",INDIRECT(""Setup!G1221"")=True,""Fail"",INDIRECT(""Setup!H1221"")=True,""N/A"",INDIRECT(""Setup!I1221"")=True,""Retest"")",Apply Stipple Method,Only available for Curio & Cameo 3.,,,
,Emboss,,,,,,
,Basic Embossing,,,,,,
3,"=IFS(INDIRECT(""Setup!B1224"")=True,""Pass"",INDIRECT(""Setup!C1224"")=True,""Fail"",INDIRECT(""Setup!D1224"")=True,""N/A"",INDIRECT(""Setup!E1224"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F1224"")=True,""Pass"",INDIRECT(""Setup!G1224"")=True,""Fail"",INDIRECT(""Setup!H1224"")=True,""N/A"",INDIRECT(""Setup!I1224"")=True,""Retest"")",Deboss,Only available for Curio.,,,
3,"=IFS(INDIRECT(""Setup!B1225"")=True,""Pass"",INDIRECT(""Setup!C1225"")=True,""Fail"",INDIRECT(""Setup!D1225"")=True,""N/A"",INDIRECT(""Setup!E1225"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F1225"")=True,""Pass"",INDIRECT(""Setup!G1225"")=True,""Fail"",INDIRECT(""Setup!H1225"")=True,""N/A"",INDIRECT(""Setup!I1225"")=True,""Retest"")",Emboss,Only available for Curio.,,,
3,"=IFS(INDIRECT(""Setup!B1226"")=True,""Pass"",INDIRECT(""Setup!C1226"")=True,""Fail"",INDIRECT(""Setup!D1226"")=True,""N/A"",INDIRECT(""Setup!E1226"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F1226"")=True,""Pass"",INDIRECT(""Setup!G1226"")=True,""Fail"",INDIRECT(""Setup!H1226"")=True,""N/A"",INDIRECT(""Setup!I1226"")=True,""Retest"")",No Emboss Pattern,Only available for Curio.,,,
3,"=IFS(INDIRECT(""Setup!B1227"")=True,""Pass"",INDIRECT(""Setup!C1227"")=True,""Fail"",INDIRECT(""Setup!D1227"")=True,""N/A"",INDIRECT(""Setup!E1227"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F1227"")=True,""Pass"",INDIRECT(""Setup!G1227"")=True,""Fail"",INDIRECT(""Setup!H1227"")=True,""N/A"",INDIRECT(""Setup!I1227"")=True,""Retest"")",Parallel Lines Emboss Pattern,Only available for Curio.,,,
3,"=IFS(INDIRECT(""Setup!B1228"")=True,""Pass"",INDIRECT(""Setup!C1228"")=True,""Fail"",INDIRECT(""Setup!D1228"")=True,""N/A"",INDIRECT(""Setup!E1228"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F1228"")=True,""Pass"",INDIRECT(""Setup!G1228"")=True,""Fail"",INDIRECT(""Setup!H1228"")=True,""N/A"",INDIRECT(""Setup!I1228"")=True,""Retest"")",Concentirc Emboss Pattern,Only available for Curio.,,,
3,"=IFS(INDIRECT(""Setup!B1229"")=True,""Pass"",INDIRECT(""Setup!C1229"")=True,""Fail"",INDIRECT(""Setup!D1229"")=True,""N/A"",INDIRECT(""Setup!E1229"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F1229"")=True,""Pass"",INDIRECT(""Setup!G1229"")=True,""Fail"",INDIRECT(""Setup!H1229"")=True,""N/A"",INDIRECT(""Setup!I1229"")=True,""Retest"")",Cross Hatch Emboss Pattern,Only available for Curio.,,,
3,"=IFS(INDIRECT(""Setup!B1230"")=True,""Pass"",INDIRECT(""Setup!C1230"")=True,""Fail"",INDIRECT(""Setup!D1230"")=True,""N/A"",INDIRECT(""Setup!E1230"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F1230"")=True,""Pass"",INDIRECT(""Setup!G1230"")=True,""Fail"",INDIRECT(""Setup!H1230"")=True,""N/A"",INDIRECT(""Setup!I1230"")=True,""Retest"")",Spiral Emboss Pattern,Only available for Curio.,,,
3,"=IFS(INDIRECT(""Setup!B1231"")=True,""Pass"",INDIRECT(""Setup!C1231"")=True,""Fail"",INDIRECT(""Setup!D1231"")=True,""N/A"",INDIRECT(""Setup!E1231"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F1231"")=True,""Pass"",INDIRECT(""Setup!G1231"")=True,""Fail"",INDIRECT(""Setup!H1231"")=True,""N/A"",INDIRECT(""Setup!I1231"")=True,""Retest"")",Adjust Spacing (3 inputs),Only available for Curio.,,,
3,"=IFS(INDIRECT(""Setup!B1232"")=True,""Pass"",INDIRECT(""Setup!C1232"")=True,""Fail"",INDIRECT(""Setup!D1232"")=True,""N/A"",INDIRECT(""Setup!E1232"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F1232"")=True,""Pass"",INDIRECT(""Setup!G1232"")=True,""Fail"",INDIRECT(""Setup!H1232"")=True,""N/A"",INDIRECT(""Setup!I1232"")=True,""Retest"")",Adjust Angle (3 inputs),Only available for Curio.,,,
