Silhouette Studio Level Testing Document,,,,,,4.2.233,
Win,Mac,Level,Task,Notes,Ticket No.,Win,Mac
"=Switch(INDIRECT(""G1235""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1235""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Passes (3 inputs),Only available for Curio.,,,
"=Switch(INDIRECT(""G1236""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1236""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Fill,Only available for Curio.,,,
"=Switch(INDIRECT(""G1237""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1237""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Apply Score Emboss Lines,Only available for Curio.,,,
Print & Emboss,,,,,,,
"=Switch(INDIRECT(""G1239""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1239""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Print,Only available for Curio.,,,
"=Switch(INDIRECT(""G1240""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1240""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Cut Registration Marks,Only available for Curio.,,,
"=Switch(INDIRECT(""G1241""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1241""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Emboss,Only available for Curio.,,,
Cut Transformations,,,,,,,
CAMEO Cutter - Set 1,,,,,,,
"=Switch(INDIRECT(""G1244""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1244""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Landscape,Automatic,None,,
"=Switch(INDIRECT(""G1245""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1245""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Landscape,Automatic,Cameo 12x12,,
"=Switch(INDIRECT(""G1246""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1246""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Landscape,Automatic,Cameo 12x24,,
CAMEO Cutter - Set 2,,,,,,,
"=Switch(INDIRECT(""G1248""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1248""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Landscape,"12""x12""",None,,
"=Switch(INDIRECT(""G1249""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1249""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Landscape,"12""x12""",Cameo 12x12,,
"=Switch(INDIRECT(""G1250""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1250""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Landscape,"12""x12""",Cameo 12x24,,
CAMEO Cutter - Set 3,,,,,,,
"=Switch(INDIRECT(""G1252""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1252""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Landscape,Letter,None,,
"=Switch(INDIRECT(""G1253""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1253""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Landscape,Letter,Portrait,,
"=Switch(INDIRECT(""G1254""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1254""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Landscape,Letter,Cameo 12x12,,
"=Switch(INDIRECT(""G1255""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1255""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Landscape,Letter,Cameo 12x24,,
CAMEO Cutter - Set 4,,,,,,,
"=Switch(INDIRECT(""G1257""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1257""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Landscape,A4,None,,
"=Switch(INDIRECT(""G1258""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1258""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Landscape,A4,Portrait,,
"=Switch(INDIRECT(""G1259""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1259""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Landscape,A4,Cameo 12x12,,
"=Switch(INDIRECT(""G1260""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1260""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Landscape,A4,Cameo 12x24,,
CAMEO Cutter - Set 5,,,,,,,
"=Switch(INDIRECT(""G1262""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1262""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Portrait,Letter,None,,
"=Switch(INDIRECT(""G1263""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1263""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",2,Portrait,Letter,Portrait,,
"=Switch(INDIRECT(""G1264""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1264""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Portrait,Letter,Cameo 12x12,,
"=Switch(INDIRECT(""G1265""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1265""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Portrait,Letter,Cameo 12x24,,
CAMEO Cutter - Set 6,,,,,,,
"=Switch(INDIRECT(""G1267""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1267""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Portrait,A4,None,,
"=Switch(INDIRECT(""G1268""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1268""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Portrait,A4,Portrait,,
"=Switch(INDIRECT(""G1269""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1269""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Portrait,A4,Cameo 12x12,,
"=Switch(INDIRECT(""G1270""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1270""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Portrait,A4,Cameo 12x24,,
CAMEO2 Cutter - Set 1,,,,,,,
"=Switch(INDIRECT(""G1272""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1272""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Landscape,Automatic,None,,
"=Switch(INDIRECT(""G1273""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1273""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Landscape,Automatic,Cameo 12x12,,
"=Switch(INDIRECT(""G1274""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1274""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Landscape,Automatic,Cameo 12x24,,
CAMEO2 Cutter - Set 2,,,,,,,
"=Switch(INDIRECT(""G1276""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1276""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Landscape,"12""x12""",None,,
"=Switch(INDIRECT(""G1277""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1277""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",2,Landscape,"12""x12""",Cameo 12x12,,
"=Switch(INDIRECT(""G1278""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1278""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Landscape,"12""x12""",Cameo 12x24,,
CAMEO2 Cutter - Set 3,,,,,,,
"=Switch(INDIRECT(""G1280""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1280""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Landscape,Letter,None,,
"=Switch(INDIRECT(""G1281""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1281""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Landscape,Letter,Portrait,,
"=Switch(INDIRECT(""G1282""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1282""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Landscape,Letter,Cameo 12x12,,
"=Switch(INDIRECT(""G1283""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1283""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Landscape,Letter,Cameo 12x24,,
CAMEO2 Cutter - Set 4,,,,,,,
"=Switch(INDIRECT(""G1285""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1285""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Landscape,A5,None,,
"=Switch(INDIRECT(""G1286""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1286""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Landscape,A5,Portrait,,
"=Switch(INDIRECT(""G1287""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1287""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Landscape,A5,Cameo 12x12,,
"=Switch(INDIRECT(""G1288""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1288""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Landscape,A5,Cameo 12x24,,
CAMEO2 Cutter - Set 5,,,,,,,
"=Switch(INDIRECT(""G1290""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1290""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Portrait,Letter,None,,
"=Switch(INDIRECT(""G1291""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1291""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Portrait,Letter,Portrait,,
"=Switch(INDIRECT(""G1292""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1292""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Portrait,Letter,Cameo 12x12,,
"=Switch(INDIRECT(""G1293""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1293""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Portrait,Letter,Cameo 12x24,,
CAMEO2 Cutter - Set 6,,,,,,,
"=Switch(INDIRECT(""G1295""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1295""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Portrait,A4,None,,
"=Switch(INDIRECT(""G1296""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1296""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Portrait,A4,Portrait,,
"=Switch(INDIRECT(""G1297""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1297""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Portrait,A4,Cameo 12x12,,
"=Switch(INDIRECT(""G1298""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1298""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Portrait,A4,Cameo 12x24,,
CAMEO3 Cutter - Set 1,,,,,,,
"=Switch(INDIRECT(""G1300""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1300""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Landscape,Automatic,None,,
"=Switch(INDIRECT(""G1301""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1301""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",2,Landscape,Automatic,Cameo 12x12,,
"=Switch(INDIRECT(""G1302""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1302""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Landscape,Automatic,Cameo 12x24,,
CAMEO3 Bluetooth Cutter - Set 2,,,,,,,
"=Switch(INDIRECT(""G1304""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1304""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Landscape,"12""x12""",None,,
"=Switch(INDIRECT(""G1305""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1305""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",2,Landscape,"12""x12""",Cameo 12x12,,
"=Switch(INDIRECT(""G1306""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1306""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Landscape,"12""x12""",Cameo 12x24,,
CAMEO3 Cutter - Set 3,,,,,,,
"=Switch(INDIRECT(""G1308""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1308""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Landscape,Letter,None,,
"=Switch(INDIRECT(""G1309""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1309""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Landscape,Letter,Portrait,,
"=Switch(INDIRECT(""G1310""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1310""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Landscape,Letter,Cameo 12x12,,
"=Switch(INDIRECT(""G1311""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1311""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Landscape,Letter,Cameo 12x24,,
CAMEO3 Cutter - Set 4,,,,,,,
"=Switch(INDIRECT(""G1313""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1313""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Landscape,A4,None,,
"=Switch(INDIRECT(""G1314""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1314""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Landscape,A4,Portrait,,
"=Switch(INDIRECT(""G1315""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1315""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Landscape,A4,Cameo 12x12,,
"=Switch(INDIRECT(""G1316""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1316""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Landscape,A5,Cameo 12x24,,
CAMEO3 Cutter - Set 5,,,,,,,
"=Switch(INDIRECT(""G1318""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1318""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Portrait,Letter,None,,
"=Switch(INDIRECT(""G1319""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1319""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Portrait,Letter,Portrait,,
"=Switch(INDIRECT(""G1320""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1320""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Portrait,Letter,Cameo 12x12,,
"=Switch(INDIRECT(""G1321""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1321""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Portrait,Letter,Cameo 12x24,,
CAMEO3 Cutter - Set 6,,,,,,,
"=Switch(INDIRECT(""G1323""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1323""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Portrait,A4,None,,
"=Switch(INDIRECT(""G1324""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1324""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Portrait,A4,Portrait,,
"=Switch(INDIRECT(""G1325""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1325""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Portrait,A4,Cameo 12x12,,
"=Switch(INDIRECT(""G1326""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1326""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Portrait,A4,Cameo 12x24,,
Portrait Cutter - Set 1,,,,,,,
"=Switch(INDIRECT(""G1328""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1328""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Portrait,Automatic,None,,
"=Switch(INDIRECT(""G1329""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1329""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",2,Portrait,Automatic,Portrait,,
Portrait Cutter - Set 2,,,,,,,
"=Switch(INDIRECT(""G1331""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1331""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Portrait,Letter,None,,
"=Switch(INDIRECT(""G1332""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1332""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Portrait,Letter,Portrait,,
Portrait Cutter - Set 3,,,,,,,
"=Switch(INDIRECT(""G1334""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1334""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Portrait,,None,,
"=Switch(INDIRECT(""G1335""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1335""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Portrait,,Portrait,,
Portrait 2 Cutter - Set 1,,,,,,,
"=Switch(INDIRECT(""G1337""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1337""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Portrait,,None,,
"=Switch(INDIRECT(""G1338""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1338""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Portrait,,Portrait,,
Portrait 2 Cutter - Set 2,,,,,,,
"=Switch(INDIRECT(""G1340""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1340""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Portrait,Letter,None,,
"=Switch(INDIRECT(""G1341""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1341""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",2,Portrait,Letter,Portrait,,
Portrait 2 Cutter - Set 3,,,,,,,
"=Switch(INDIRECT(""G1343""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1343""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Portrait,A4,None,,
"=Switch(INDIRECT(""G1344""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1344""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Portrait,A4,Portrait,,
Portrait 2 Cutter - Bluetooth,,,,,,,
"=Switch(INDIRECT(""G1346""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1346""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Portrait,Automatic,None,,
"=Switch(INDIRECT(""G1347""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1347""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",2,Portrait,Automatic,Portrait,,
Curio Cutter - Set 1,,,,,,,
"=Switch(INDIRECT(""G1349""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1349""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Portrait,A4,Large Mat,,
Curio Cutter - Set 2,,,,,,,
"=Switch(INDIRECT(""G1351""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1351""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",2,Portrait,A5,Large Mat,,
"=Switch(INDIRECT(""G1352""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1352""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Landscape,A5,Small Mat,,
"Original Cutters (SD, Silhouette, Craft Robo) - Type 2 Reg-Marks",,,,,,,
"=Switch(INDIRECT(""G1354""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H1354""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Landscape,Automatic,Portrait,,
